^	e	m	a	o	l	i	v	s	b	p	h	c	r	t	y	n	g	z	f	d	u	k	w	q	x	j
0.04779446196110261	0.06223375605934486	0.12315567600120446	0.020422015641139147	0.016637257373329974	0.20927066915030806	0.09338455454494096	0.22075398367664206	0.10905502097211942	0.24763705103969755	0.19200779727095516	0.08849789915966387	0.15600226500566253	0.1336220472440945	0.12854578096947936	0.030789689034369884	0.07415288917989851	0.17332641411520497	0.1555462885738115	0.13591160220994475	0.2334425036390102	0.05390749601275917	0.1775793650793651	0.1603875134553283	0.003676470588235294	0.05164992826398852	0.15172413793103448
0.012299815814940843	0.013171424374479754	0.0680517916290274	0.0018592297476759628	0.01449458028737081	0.04957730333858719	0.0332184622337721	0.05946366109599689	0.06550703182827536	0.03969754253308128	0.057504873294346975	0.03768382352941176	0.10758776896942242	0.06842519685039371	0.11974865350089767	0.027720949263502454	0.027063894800021825	0.043072132848988066	0.045871559633027525	0.06629834254143646	0.06877729257641921	0.003189792663476874	0.06825396825396825	0.038751345532831	0.007352941176470588	0.058823529411764705	0.16517241379310346
0.1376705272687541	0.03324682955491358	0.38994278831677204	0.01640844031282278	0.018779934459289136	0.18792090557386446	0.1381277893904299	0.2495141857753595	0.14816185541574142	0.12136105860113422	0.2037037037037037	0.29464285714285715	0.23074745186862966	0.18551181102362205	0.1843806104129264	0.21921031096563012	0.16243793310416327	0.17125064867669954	0.3586321934945788	0.2674033149171271	0.23708151382823872	0.05199362041467304	0.34345238095238095	0.3013993541442411	0.04779411764705882	0.14777618364418937	0.5079310344827587
0.018449723722411264	0.040052881555109436	0.18909966877446552	0.04869411243913236	0.008696748172422485	0.17767588479724888	0.004632506638043049	0.35406140691799454	0.0843819393042191	0.08204158790170132	0.0594541910331384	0.09571953781512606	0.07672706681766704	0.23881889763779526	0.0955116696588869	0.019639934533551555	0.09412342445572107	0.09859885832900882	0.1517931609674729	0.17679558011049723	0.12263464337700146	0.03859649122807018	0.1009920634920635	0.15931108719052745	0.04779411764705882	0.14634146341463414	0.04103448275862069
0.0641525926388412	0.04215835087891103	0.005269497139415839	0.03299395012542423	0.0635240736072599	0.006734489181831208	0.07434608214225186	0.0	0.05687145324451024	0.0030245746691871457	0.015594541910331383	0.0040703781512605045	0.0014156285390713476	0.014960629921259842	0.0062836624775583485	0.04101882160392799	0.015168876520979976	0.015568240788790867	0.0016680567139282735	0.0066298342541436465	0.005276564774381368	0.15119617224880383	0.018849206349206348	0.021528525296017224	0.007352941176470588	0.04447632711621234	0.002413793103448276
0.04813785783410857	0.007491553640503354	0.0076784101174345075	0.013870444149328611	0.014368540458784976	0.0017910875483593638	0.02875543754590136	0.0	0.007401924500370096	0.0003780718336483932	0.0009746588693957114	0.0002626050420168067	0.01189127972819932	0.007795275590551181	0.003052064631956912	0.011763502454991817	0.01162219675888034	0.0	0.0008340283569641367	0.0	0.0005458515283842794	0.0328548644338118	0.0003968253968253968	0.0	0.0	0.005738880918220947	0.001379310344827586
0.07923079324446665	0.0376536258140332	0.025293586269196026	0.048221927106389256	0.03289639526090245	0.0042986101160624735	0.024122930907858314	0.0	0.011102886750555145	0.0	0.0009746588693957114	0.015362394957983192	0.0	0.012755905511811024	0.000718132854578097	0.015139116202945991	0.0010367217766137392	0.0031136481577581734	0.014595496246872394	0.0	0.0054585152838427945	0.04912280701754386	0.0017857142857142857	0.002152852529601722	0.007352941176470588	0.0014347202295552368	0.0017241379310344827
0.027284363000655575	0.007442589237624247	0.0007527853056308341	0.06882101224730706	0.021552810688177465	0.0013612265367531164	0.005366928422123044	0.000388651379712398	0.15852454971625957	0.01550094517958412	0.19883040935672514	0.00013130252100840336	0.18799546998867497	0.00952755905511811	0.11615798922800719	0.0022504091653027824	0.0014186719048398537	0.1868188894654904	0.01793160967472894	0.0011049723756906078	0.021470160116448325	0.01850079744816587	0.06091269841269841	0.024757804090419805	0.0	0.0014347202295552368	0.015517241379310345
0.011737895295476539	0.022670518533026488	0.00045167118337850043	0.024612660469234174	0.022183009831106628	0.005158332139274968	0.01519688153211683	0.0027205596579867857	0.0017271157167530224	0.0	0.0	0.005120798319327731	0.0	0.006299212598425197	0.0026929982046678637	0.010842880523731587	0.0030010367217766136	0.0005189413596263622	0.0008340283569641367	0.0	0.0030931586608442503	0.011802232854864434	0.0003968253968253968	0.0	0.0	0.0	0.0017241379310344827
0.049074392033215744	0.15903638055133917	0.0007527853056308341	0.07460528257341006	0.07801865389463071	0.09636051010173377	0.07598440766058415	0.005441119315973571	0.03441894892672095	0.0389413988657845	0.015594541910331383	0.024290966386554622	0.03284258210645526	0.032519685039370076	0.02405745062836625	0.11292962356792144	0.010640039286298903	0.01660612350804359	0.05129274395329441	0.022099447513812154	0.010917030567685589	0.09601275917065391	0.02757936507936508	0.013993541442411194	0.003676470588235294	0.05595408895265423	0.003103448275862069
